"year","gender","n","proporcao"
2000,"F",1031,0.169544482815326
2000,"M",5050,0.830455517184674
2001,"F",1247,0.181593126547255
2001,"M",5620,0.818406873452745
2002,"F",1354,0.181379772270596
2002,"M",6111,0.818620227729404
2003,"F",1630,0.184347432707532
2003,"M",7212,0.815652567292468
2004,"F",1953,0.193653941497273
2004,"M",8132,0.806346058502727
2005,"F",2658,0.195283226801851
2005,"M",10953,0.804716773198149
2006,"F",2701,0.20071338336925
2006,"M",10756,0.79928661663075
2007,"F",3038,0.190243596969128
2007,"M",12931,0.809756403030872
2008,"F",3190,0.199587061252581
2008,"M",12793,0.800412938747419
2009,"F",3350,0.202735415153716
2009,"M",13174,0.797264584846284
2010,"F",3582,0.211227739120179
2010,"M",13376,0.788772260879821
2011,"F",4385,0.217025488740411
2011,"M",15820,0.782974511259589
2012,"F",4118,0.221243217106324
2012,"M",14495,0.778756782893676
2013,"F",5541,0.226274093433518
2013,"M",18947,0.773725906566482
2014,"F",5277,0.229764444637959
2014,"M",17690,0.770235555362041
2015,"F",6219,0.223801640996113
2015,"M",21569,0.776198359003887
2016,"F",6358,0.243331164606376
2016,"M",19771,0.756668835393624
